 ListingID,Link,lat,lng,Bedrooms,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Dynamic Pricing,id
50154320,[ABnB](https://www.airbnb.com/rooms/50154320),16.77009,-99.78445,2,-NA,0,14272,1,42817,3,7,None,144
44381794,[ABnB](https://www.airbnb.com/rooms/44381794),16.77071,-99.78405,2,-NA,0,3552,31,408351,114,2,None,145
21867600,[ABnB](https://www.airbnb.com/rooms/21867600),16.77193,-99.78273,2,4.86,110,1663,51,332550,185,2,Low,146
39507395,[ABnB](https://www.airbnb.com/rooms/39507395),16.77007,-99.78451,2,-NA,0,11582,0,0,0,7,None,147
40528850,[ABnB](https://www.airbnb.com/rooms/40528850),16.76886,-99.78513,2,-NA,0,6140,2,40394,7,7,None,148
26630384,[ABnB](https://www.airbnb.com/rooms/26630384),16.77282,-99.78108,2,-NA,0,3491,0,0,0,2,None,149
32267921,[ABnB](https://www.airbnb.com/rooms/32267921),16.7712,-99.78385,2,4.59,22,2874,58,172039,86,2,High,150
41035162,[ABnB](https://www.airbnb.com/rooms/41035162),16.77266,-99.78171,2,4.76,17,1293,31,193576,112,1,None,151
43040071,[ABnB](https://www.airbnb.com/rooms/43040071),16.76983,-99.78485,2,-NA,0,9241,12,223181,44,5,None,152
48998229,[ABnB](https://www.airbnb.com/rooms/48998229),16.77218,-99.78275,2,5.0,2,1499,21,40096,48,2,None,153
43081607,[ABnB](https://www.airbnb.com/rooms/43081607),16.77272,-99.78169,2,-NA,0,2484,6,46187,21,1,None,154
37398316,[ABnB](https://www.airbnb.com/rooms/37398316),16.77292,-99.78128,2,4.0,5,1088,4,14786,16,1,None,155
49323658,[ABnB](https://www.airbnb.com/rooms/49323658),16.76945,-99.78513,2,-NA,0,3737,19,162540,42,7,None,156
13007420,[ABnB](https://www.airbnb.com/rooms/13007420),16.77261,-99.78227,2,4.69,29,1581,28,157184,101,2,None,157
51894627,[ABnB](https://www.airbnb.com/rooms/51894627),16.77027,-99.78481,2,-NA,0,3018,9,27169,9,7,None,158
16435140,[ABnB](https://www.airbnb.com/rooms/16435140),16.77089,-99.78441,2,4.83,119,1006,16,73702,59,2,Low,159
46200476,[ABnB](https://www.airbnb.com/rooms/46200476),16.77279,-99.78191,2,-NA,0,1745,0,1766,1,2,None,160
46193902,[ABnB](https://www.airbnb.com/rooms/46193902),16.76964,-99.78515,2,-NA,0,6982,0,7085,1,7,None,161
39649882,[ABnB](https://www.airbnb.com/rooms/39649882),16.76978,-99.78517,2,-NA,0,11027,0,0,0,7,None,162
46854937,[ABnB](https://www.airbnb.com/rooms/46854937),16.77021,-99.78496,2,-NA,0,4620,5,63532,16,5,None,163
46646958,[ABnB](https://www.airbnb.com/rooms/46646958),16.77335,-99.77999,2,4.25,4,1704,30,175929,89,1,None,164
41049655,[ABnB](https://www.airbnb.com/rooms/41049655),16.77277,-99.7823,2,4.42,12,1499,30,205386,109,1,None,165
39888753,[ABnB](https://www.airbnb.com/rooms/39888753),16.76996,-99.78519,2,-NA,0,7803,56,1739780,204,7,None,166
46173621,[ABnB](https://www.airbnb.com/rooms/46173621),16.76916,-99.78554,2,-NA,0,4558,27,453140,83,7,None,167
46175214,[ABnB](https://www.airbnb.com/rooms/46175214),16.76916,-99.78554,2,-NA,0,4456,31,426608,95,7,None,168
39604661,[ABnB](https://www.airbnb.com/rooms/39604661),16.76838,-99.78578,2,-NA,0,14457,0,0,0,7,None,169
51807614,[ABnB](https://www.airbnb.com/rooms/51807614),16.77025,-99.78517,2,-NA,0,2772,33,88714,32,7,None,170
